noise_type,noise_name,class_name,correct,wrong,total,accuracy
fixed,doing_the_dishes,backward,17,83,100,0.17
fixed,doing_the_dishes,bed,44,56,100,0.44
fixed,doing_the_dishes,bird,62,38,100,0.62
fixed,doing_the_dishes,cat,65,35,100,0.65
fixed,doing_the_dishes,dog,24,76,100,0.24
fixed,doing_the_dishes,down,12,88,100,0.12
fixed,doing_the_dishes,eight,20,80,100,0.2
fixed,doing_the_dishes,five,26,74,100,0.26
fixed,doing_the_dishes,follow,20,80,100,0.2
fixed,doing_the_dishes,forward,18,82,100,0.18
fixed,doing_the_dishes,four,38,62,100,0.38
fixed,doing_the_dishes,go,30,70,100,0.3
fixed,doing_the_dishes,happy,29,71,100,0.29
fixed,doing_the_dishes,house,43,57,100,0.43
fixed,doing_the_dishes,learn,19,81,100,0.19
fixed,doing_the_dishes,left,30,70,100,0.3
fixed,doing_the_dishes,marvin,31,69,100,0.31
fixed,doing_the_dishes,nine,19,81,100,0.19
fixed,doing_the_dishes,no,32,68,100,0.32
fixed,doing_the_dishes,off,50,50,100,0.5
fixed,doing_the_dishes,on,9,91,100,0.09
fixed,doing_the_dishes,one,9,91,100,0.09
fixed,doing_the_dishes,right,34,66,100,0.34
fixed,doing_the_dishes,seven,42,58,100,0.42
fixed,doing_the_dishes,sheila,57,43,100,0.57
fixed,doing_the_dishes,six,50,50,100,0.5
fixed,doing_the_dishes,stop,39,61,100,0.39
fixed,doing_the_dishes,three,6,94,100,0.06
fixed,doing_the_dishes,tree,27,73,100,0.27
fixed,doing_the_dishes,two,9,91,100,0.09
fixed,doing_the_dishes,up,48,52,100,0.48
fixed,doing_the_dishes,visual,17,83,100,0.17
fixed,doing_the_dishes,wow,35,65,100,0.35
fixed,doing_the_dishes,yes,31,69,100,0.31
fixed,doing_the_dishes,zero,45,55,100,0.45
fixed,dude_miaowing,backward,43,57,100,0.43
fixed,dude_miaowing,bed,48,52,100,0.48
fixed,dude_miaowing,bird,57,43,100,0.57
fixed,dude_miaowing,cat,56,44,100,0.56
fixed,dude_miaowing,dog,38,62,100,0.38
fixed,dude_miaowing,down,28,72,100,0.28
fixed,dude_miaowing,eight,66,34,100,0.66
fixed,dude_miaowing,five,39,61,100,0.39
fixed,dude_miaowing,follow,43,57,100,0.43
fixed,dude_miaowing,forward,36,64,100,0.36
fixed,dude_miaowing,four,46,54,100,0.46
fixed,dude_miaowing,go,19,81,100,0.19
fixed,dude_miaowing,happy,55,45,100,0.55
fixed,dude_miaowing,house,58,42,100,0.58
fixed,dude_miaowing,learn,34,66,100,0.34
fixed,dude_miaowing,left,37,63,100,0.37
fixed,dude_miaowing,marvin,42,58,100,0.42
fixed,dude_miaowing,nine,35,65,100,0.35
fixed,dude_miaowing,no,33,67,100,0.33
fixed,dude_miaowing,off,60,40,100,0.6
fixed,dude_miaowing,on,35,65,100,0.35
fixed,dude_miaowing,one,26,74,100,0.26
fixed,dude_miaowing,right,26,74,100,0.26
fixed,dude_miaowing,seven,49,51,100,0.49
fixed,dude_miaowing,sheila,67,33,100,0.67
fixed,dude_miaowing,six,74,26,100,0.74
fixed,dude_miaowing,stop,58,42,100,0.58
fixed,dude_miaowing,three,49,51,100,0.49
fixed,dude_miaowing,tree,49,51,100,0.49
fixed,dude_miaowing,two,50,50,100,0.5
fixed,dude_miaowing,up,48,52,100,0.48
fixed,dude_miaowing,visual,50,50,100,0.5
fixed,dude_miaowing,wow,51,49,100,0.51
fixed,dude_miaowing,yes,53,47,100,0.53
fixed,dude_miaowing,zero,57,43,100,0.57
fixed,exercise_bike,backward,10,90,100,0.1
fixed,exercise_bike,bed,16,84,100,0.16
fixed,exercise_bike,bird,38,62,100,0.38
fixed,exercise_bike,cat,47,53,100,0.47
fixed,exercise_bike,dog,17,83,100,0.17
fixed,exercise_bike,down,24,76,100,0.24
fixed,exercise_bike,eight,61,39,100,0.61
fixed,exercise_bike,five,27,73,100,0.27
fixed,exercise_bike,follow,21,79,100,0.21
fixed,exercise_bike,forward,18,82,100,0.18
fixed,exercise_bike,four,55,45,100,0.55
fixed,exercise_bike,go,16,84,100,0.16
fixed,exercise_bike,happy,16,84,100,0.16
fixed,exercise_bike,house,44,56,100,0.44
fixed,exercise_bike,learn,16,84,100,0.16
fixed,exercise_bike,left,38,62,100,0.38
fixed,exercise_bike,marvin,24,76,100,0.24
fixed,exercise_bike,nine,17,83,100,0.17
fixed,exercise_bike,no,21,79,100,0.21
fixed,exercise_bike,off,69,31,100,0.69
fixed,exercise_bike,on,12,88,100,0.12
fixed,exercise_bike,one,18,82,100,0.18
fixed,exercise_bike,right,21,79,100,0.21
fixed,exercise_bike,seven,23,77,100,0.23
fixed,exercise_bike,sheila,60,40,100,0.6
fixed,exercise_bike,six,70,30,100,0.7
fixed,exercise_bike,stop,50,50,100,0.5
fixed,exercise_bike,three,36,64,100,0.36
fixed,exercise_bike,tree,44,56,100,0.44
fixed,exercise_bike,two,43,57,100,0.43
fixed,exercise_bike,up,14,86,100,0.14
fixed,exercise_bike,visual,22,78,100,0.22
fixed,exercise_bike,wow,35,65,100,0.35
fixed,exercise_bike,yes,61,39,100,0.61
fixed,exercise_bike,zero,51,49,100,0.51
fixed,pink_noise,backward,1,99,100,0.01
fixed,pink_noise,bed,41,59,100,0.41
fixed,pink_noise,bird,19,81,100,0.19
fixed,pink_noise,cat,24,76,100,0.24
fixed,pink_noise,dog,12,88,100,0.12
fixed,pink_noise,down,15,85,100,0.15
fixed,pink_noise,eight,26,74,100,0.26
fixed,pink_noise,five,6,94,100,0.06
fixed,pink_noise,follow,4,96,100,0.04
fixed,pink_noise,forward,7,93,100,0.07
fixed,pink_noise,four,31,69,100,0.31
fixed,pink_noise,go,32,68,100,0.32
fixed,pink_noise,happy,9,91,100,0.09
fixed,pink_noise,house,10,90,100,0.1
fixed,pink_noise,learn,8,92,100,0.08
fixed,pink_noise,left,17,83,100,0.17
fixed,pink_noise,marvin,10,90,100,0.1
fixed,pink_noise,nine,20,80,100,0.2
fixed,pink_noise,no,7,93,100,0.07
fixed,pink_noise,off,18,82,100,0.18
fixed,pink_noise,on,22,78,100,0.22
fixed,pink_noise,one,10,90,100,0.1
fixed,pink_noise,right,15,85,100,0.15
fixed,pink_noise,seven,8,92,100,0.08
fixed,pink_noise,sheila,11,89,100,0.11
fixed,pink_noise,six,10,90,100,0.1
fixed,pink_noise,stop,9,91,100,0.09
fixed,pink_noise,three,33,67,100,0.33
fixed,pink_noise,tree,20,80,100,0.2
fixed,pink_noise,two,18,82,100,0.18
fixed,pink_noise,up,17,83,100,0.17
fixed,pink_noise,visual,8,92,100,0.08
fixed,pink_noise,wow,14,86,100,0.14
fixed,pink_noise,yes,19,81,100,0.19
fixed,pink_noise,zero,11,89,100,0.11
fixed,running_tap,backward,0,100,100,0.0
fixed,running_tap,bed,6,94,100,0.06
fixed,running_tap,bird,10,90,100,0.1
fixed,running_tap,cat,17,83,100,0.17
fixed,running_tap,dog,2,98,100,0.02
fixed,running_tap,down,4,96,100,0.04
fixed,running_tap,eight,27,73,100,0.27
fixed,running_tap,five,7,93,100,0.07
fixed,running_tap,follow,7,93,100,0.07
fixed,running_tap,forward,0,100,100,0.0
fixed,running_tap,four,7,93,100,0.07
fixed,running_tap,go,0,100,100,0.0
fixed,running_tap,happy,2,98,100,0.02
fixed,running_tap,house,28,72,100,0.28
fixed,running_tap,learn,1,99,100,0.01
fixed,running_tap,left,9,91,100,0.09
fixed,running_tap,marvin,8,92,100,0.08
fixed,running_tap,nine,3,97,100,0.03
fixed,running_tap,no,2,98,100,0.02
fixed,running_tap,off,45,55,100,0.45
fixed,running_tap,on,1,99,100,0.01
fixed,running_tap,one,2,98,100,0.02
fixed,running_tap,right,1,99,100,0.01
fixed,running_tap,seven,4,96,100,0.04
fixed,running_tap,sheila,32,68,100,0.32
fixed,running_tap,six,72,28,100,0.72
fixed,running_tap,stop,28,72,100,0.28
fixed,running_tap,three,12,88,100,0.12
fixed,running_tap,tree,30,70,100,0.3
fixed,running_tap,two,13,87,100,0.13
fixed,running_tap,up,3,97,100,0.03
fixed,running_tap,visual,6,94,100,0.06
fixed,running_tap,wow,12,88,100,0.12
fixed,running_tap,yes,62,38,100,0.62
fixed,running_tap,zero,11,89,100,0.11
fixed,white_noise,backward,0,100,100,0.0
fixed,white_noise,bed,0,100,100,0.0
fixed,white_noise,bird,0,100,100,0.0
fixed,white_noise,cat,0,100,100,0.0
fixed,white_noise,dog,0,100,100,0.0
fixed,white_noise,down,1,99,100,0.01
fixed,white_noise,eight,1,99,100,0.01
fixed,white_noise,five,1,99,100,0.01
fixed,white_noise,follow,1,99,100,0.01
fixed,white_noise,forward,2,98,100,0.02
fixed,white_noise,four,1,99,100,0.01
fixed,white_noise,go,1,99,100,0.01
fixed,white_noise,happy,0,100,100,0.0
fixed,white_noise,house,0,100,100,0.0
fixed,white_noise,learn,0,100,100,0.0
fixed,white_noise,left,0,100,100,0.0
fixed,white_noise,marvin,2,98,100,0.02
fixed,white_noise,nine,1,99,100,0.01
fixed,white_noise,no,1,99,100,0.01
fixed,white_noise,off,2,98,100,0.02
fixed,white_noise,on,1,99,100,0.01
fixed,white_noise,one,1,99,100,0.01
fixed,white_noise,right,1,99,100,0.01
fixed,white_noise,seven,12,88,100,0.12
fixed,white_noise,sheila,0,100,100,0.0
fixed,white_noise,six,69,31,100,0.69
fixed,white_noise,stop,47,53,100,0.47
fixed,white_noise,three,0,100,100,0.0
fixed,white_noise,tree,3,97,100,0.03
fixed,white_noise,two,2,98,100,0.02
fixed,white_noise,up,0,100,100,0.0
fixed,white_noise,visual,1,99,100,0.01
fixed,white_noise,wow,0,100,100,0.0
fixed,white_noise,yes,27,73,100,0.27
fixed,white_noise,zero,0,100,100,0.0
intermittent,doing_the_dishes,backward,62,38,100,0.62
intermittent,doing_the_dishes,bed,41,59,100,0.41
intermittent,doing_the_dishes,bird,44,56,100,0.44
intermittent,doing_the_dishes,cat,52,48,100,0.52
intermittent,doing_the_dishes,dog,40,60,100,0.4
intermittent,doing_the_dishes,down,14,86,100,0.14
intermittent,doing_the_dishes,eight,33,67,100,0.33
intermittent,doing_the_dishes,five,37,63,100,0.37
intermittent,doing_the_dishes,follow,18,82,100,0.18
intermittent,doing_the_dishes,forward,29,71,100,0.29
intermittent,doing_the_dishes,four,34,66,100,0.34
intermittent,doing_the_dishes,go,14,86,100,0.14
intermittent,doing_the_dishes,happy,29,71,100,0.29
intermittent,doing_the_dishes,house,39,61,100,0.39
intermittent,doing_the_dishes,learn,25,75,100,0.25
intermittent,doing_the_dishes,left,29,71,100,0.29
intermittent,doing_the_dishes,marvin,39,61,100,0.39
intermittent,doing_the_dishes,nine,25,75,100,0.25
intermittent,doing_the_dishes,no,14,86,100,0.14
intermittent,doing_the_dishes,off,44,56,100,0.44
intermittent,doing_the_dishes,on,12,88,100,0.12
intermittent,doing_the_dishes,one,9,91,100,0.09
intermittent,doing_the_dishes,right,31,69,100,0.31
intermittent,doing_the_dishes,seven,36,64,100,0.36
intermittent,doing_the_dishes,sheila,49,51,100,0.49
intermittent,doing_the_dishes,six,60,40,100,0.6
intermittent,doing_the_dishes,stop,63,37,100,0.63
intermittent,doing_the_dishes,three,10,90,100,0.1
intermittent,doing_the_dishes,tree,22,78,100,0.22
intermittent,doing_the_dishes,two,16,84,100,0.16
intermittent,doing_the_dishes,up,34,66,100,0.34
intermittent,doing_the_dishes,visual,34,66,100,0.34
intermittent,doing_the_dishes,wow,31,69,100,0.31
intermittent,doing_the_dishes,yes,40,60,100,0.4
intermittent,doing_the_dishes,zero,37,63,100,0.37
intermittent,dude_miaowing,backward,45,55,100,0.45
intermittent,dude_miaowing,bed,50,50,100,0.5
intermittent,dude_miaowing,bird,55,45,100,0.55
intermittent,dude_miaowing,cat,54,46,100,0.54
intermittent,dude_miaowing,dog,30,70,100,0.3
intermittent,dude_miaowing,down,29,71,100,0.29
intermittent,dude_miaowing,eight,61,39,100,0.61
intermittent,dude_miaowing,five,41,59,100,0.41
intermittent,dude_miaowing,follow,42,58,100,0.42
intermittent,dude_miaowing,forward,45,55,100,0.45
intermittent,dude_miaowing,four,50,50,100,0.5
intermittent,dude_miaowing,go,20,80,100,0.2
intermittent,dude_miaowing,happy,52,48,100,0.52
intermittent,dude_miaowing,house,58,42,100,0.58
intermittent,dude_miaowing,learn,33,67,100,0.33
intermittent,dude_miaowing,left,42,58,100,0.42
intermittent,dude_miaowing,marvin,45,55,100,0.45
intermittent,dude_miaowing,nine,36,64,100,0.36
intermittent,dude_miaowing,no,28,72,100,0.28
intermittent,dude_miaowing,off,56,44,100,0.56
intermittent,dude_miaowing,on,30,70,100,0.3
intermittent,dude_miaowing,one,23,77,100,0.23
intermittent,dude_miaowing,right,34,66,100,0.34
intermittent,dude_miaowing,seven,59,41,100,0.59
intermittent,dude_miaowing,sheila,65,35,100,0.65
intermittent,dude_miaowing,six,75,25,100,0.75
intermittent,dude_miaowing,stop,60,40,100,0.6
intermittent,dude_miaowing,three,40,60,100,0.4
intermittent,dude_miaowing,tree,50,50,100,0.5
intermittent,dude_miaowing,two,52,48,100,0.52
intermittent,dude_miaowing,up,47,53,100,0.47
intermittent,dude_miaowing,visual,51,49,100,0.51
intermittent,dude_miaowing,wow,43,57,100,0.43
intermittent,dude_miaowing,yes,50,50,100,0.5
intermittent,dude_miaowing,zero,60,40,100,0.6
intermittent,exercise_bike,backward,33,67,100,0.33
intermittent,exercise_bike,bed,19,81,100,0.19
intermittent,exercise_bike,bird,23,77,100,0.23
intermittent,exercise_bike,cat,56,44,100,0.56
intermittent,exercise_bike,dog,9,91,100,0.09
intermittent,exercise_bike,down,11,89,100,0.11
intermittent,exercise_bike,eight,53,47,100,0.53
intermittent,exercise_bike,five,41,59,100,0.41
intermittent,exercise_bike,follow,34,66,100,0.34
intermittent,exercise_bike,forward,48,52,100,0.48
intermittent,exercise_bike,four,42,58,100,0.42
intermittent,exercise_bike,go,6,94,100,0.06
intermittent,exercise_bike,happy,17,83,100,0.17
intermittent,exercise_bike,house,45,55,100,0.45
intermittent,exercise_bike,learn,21,79,100,0.21
intermittent,exercise_bike,left,38,62,100,0.38
intermittent,exercise_bike,marvin,19,81,100,0.19
intermittent,exercise_bike,nine,19,81,100,0.19
intermittent,exercise_bike,no,16,84,100,0.16
intermittent,exercise_bike,off,60,40,100,0.6
intermittent,exercise_bike,on,11,89,100,0.11
intermittent,exercise_bike,one,6,94,100,0.06
intermittent,exercise_bike,right,33,67,100,0.33
intermittent,exercise_bike,seven,36,64,100,0.36
intermittent,exercise_bike,sheila,30,70,100,0.3
intermittent,exercise_bike,six,80,20,100,0.8
intermittent,exercise_bike,stop,48,52,100,0.48
intermittent,exercise_bike,three,32,68,100,0.32
intermittent,exercise_bike,tree,19,81,100,0.19
intermittent,exercise_bike,two,39,61,100,0.39
intermittent,exercise_bike,up,25,75,100,0.25
intermittent,exercise_bike,visual,48,52,100,0.48
intermittent,exercise_bike,wow,22,78,100,0.22
intermittent,exercise_bike,yes,37,63,100,0.37
intermittent,exercise_bike,zero,64,36,100,0.64
intermittent,pink_noise,backward,63,37,100,0.63
intermittent,pink_noise,bed,43,57,100,0.43
intermittent,pink_noise,bird,29,71,100,0.29
intermittent,pink_noise,cat,39,61,100,0.39
intermittent,pink_noise,dog,16,84,100,0.16
intermittent,pink_noise,down,20,80,100,0.2
intermittent,pink_noise,eight,44,56,100,0.44
intermittent,pink_noise,five,16,84,100,0.16
intermittent,pink_noise,follow,12,88,100,0.12
intermittent,pink_noise,forward,26,74,100,0.26
intermittent,pink_noise,four,30,70,100,0.3
intermittent,pink_noise,go,1,99,100,0.01
intermittent,pink_noise,happy,4,96,100,0.04
intermittent,pink_noise,house,14,86,100,0.14
intermittent,pink_noise,learn,5,95,100,0.05
intermittent,pink_noise,left,7,93,100,0.07
intermittent,pink_noise,marvin,20,80,100,0.2
intermittent,pink_noise,nine,13,87,100,0.13
intermittent,pink_noise,no,6,94,100,0.06
intermittent,pink_noise,off,38,62,100,0.38
intermittent,pink_noise,on,6,94,100,0.06
intermittent,pink_noise,one,1,99,100,0.01
intermittent,pink_noise,right,28,72,100,0.28
intermittent,pink_noise,seven,28,72,100,0.28
intermittent,pink_noise,sheila,8,92,100,0.08
intermittent,pink_noise,six,24,76,100,0.24
intermittent,pink_noise,stop,36,64,100,0.36
intermittent,pink_noise,three,14,86,100,0.14
intermittent,pink_noise,tree,6,94,100,0.06
intermittent,pink_noise,two,44,56,100,0.44
intermittent,pink_noise,up,29,71,100,0.29
intermittent,pink_noise,visual,35,65,100,0.35
intermittent,pink_noise,wow,17,83,100,0.17
intermittent,pink_noise,yes,13,87,100,0.13
intermittent,pink_noise,zero,33,67,100,0.33
intermittent,running_tap,backward,27,73,100,0.27
intermittent,running_tap,bed,15,85,100,0.15
intermittent,running_tap,bird,8,92,100,0.08
intermittent,running_tap,cat,36,64,100,0.36
intermittent,running_tap,dog,4,96,100,0.04
intermittent,running_tap,down,0,100,100,0.0
intermittent,running_tap,eight,34,66,100,0.34
intermittent,running_tap,five,35,65,100,0.35
intermittent,running_tap,follow,22,78,100,0.22
intermittent,running_tap,forward,40,60,100,0.4
intermittent,running_tap,four,21,79,100,0.21
intermittent,running_tap,go,1,99,100,0.01
intermittent,running_tap,happy,3,97,100,0.03
intermittent,running_tap,house,46,54,100,0.46
intermittent,running_tap,learn,4,96,100,0.04
intermittent,running_tap,left,14,86,100,0.14
intermittent,running_tap,marvin,7,93,100,0.07
intermittent,running_tap,nine,13,87,100,0.13
intermittent,running_tap,no,9,91,100,0.09
intermittent,running_tap,off,52,48,100,0.52
intermittent,running_tap,on,6,94,100,0.06
intermittent,running_tap,one,1,99,100,0.01
intermittent,running_tap,right,12,88,100,0.12
intermittent,running_tap,seven,19,81,100,0.19
intermittent,running_tap,sheila,18,82,100,0.18
intermittent,running_tap,six,90,10,100,0.9
intermittent,running_tap,stop,28,72,100,0.28
intermittent,running_tap,three,22,78,100,0.22
intermittent,running_tap,tree,13,87,100,0.13
intermittent,running_tap,two,13,87,100,0.13
intermittent,running_tap,up,11,89,100,0.11
intermittent,running_tap,visual,38,62,100,0.38
intermittent,running_tap,wow,15,85,100,0.15
intermittent,running_tap,yes,14,86,100,0.14
intermittent,running_tap,zero,56,44,100,0.56
intermittent,white_noise,backward,17,83,100,0.17
intermittent,white_noise,bed,1,99,100,0.01
intermittent,white_noise,bird,1,99,100,0.01
intermittent,white_noise,cat,24,76,100,0.24
intermittent,white_noise,dog,13,87,100,0.13
intermittent,white_noise,down,4,96,100,0.04
intermittent,white_noise,eight,14,86,100,0.14
intermittent,white_noise,five,18,82,100,0.18
intermittent,white_noise,follow,7,93,100,0.07
intermittent,white_noise,forward,45,55,100,0.45
intermittent,white_noise,four,4,96,100,0.04
intermittent,white_noise,go,0,100,100,0.0
intermittent,white_noise,happy,0,100,100,0.0
intermittent,white_noise,house,5,95,100,0.05
intermittent,white_noise,learn,3,97,100,0.03
intermittent,white_noise,left,8,92,100,0.08
intermittent,white_noise,marvin,0,100,100,0.0
intermittent,white_noise,nine,9,91,100,0.09
intermittent,white_noise,no,2,98,100,0.02
intermittent,white_noise,off,36,64,100,0.36
intermittent,white_noise,on,5,95,100,0.05
intermittent,white_noise,one,0,100,100,0.0
intermittent,white_noise,right,13,87,100,0.13
intermittent,white_noise,seven,7,93,100,0.07
intermittent,white_noise,sheila,1,99,100,0.01
intermittent,white_noise,six,92,8,100,0.92
intermittent,white_noise,stop,8,92,100,0.08
intermittent,white_noise,three,14,86,100,0.14
intermittent,white_noise,tree,1,99,100,0.01
intermittent,white_noise,two,4,96,100,0.04
intermittent,white_noise,up,5,95,100,0.05
intermittent,white_noise,visual,10,90,100,0.1
intermittent,white_noise,wow,2,98,100,0.02
intermittent,white_noise,yes,5,95,100,0.05
intermittent,white_noise,zero,22,78,100,0.22
